smiles,Class,pro_id,IC50(nM)_edit,log(IC50(nM))
CCOC(=O)c1cc2c(N)noc2nc1C,0,pro_171,100000,5.0
Cc1cc(c2c(N)noc2n1)C(F)(F)F,0,pro_171,100000,5.0
Nc1noc2ncc(F)cc12,0,pro_171,100000,5.0
Cc1ccc2c(N)noc2n1,0,pro_171,100000,5.0
CCOC(=O)c1cc2c(N)noc2nc1C(F)(F)F,0,pro_171,55000,4.740362689494244
Cc1nc2onc(N)c2c(C)c1OC(F)F,0,pro_171,100000,5.0
Nc1noc2ncccc12,0,pro_171,100000,5.0
CCOC(=O)c1cc2c(N)noc2nc1C(F)F,0,pro_171,100000,5.0
CS(=O)(=O)c1ccc2c(N)noc2n1,0,pro_171,100000,5.0
CN(C)CCOc1ccc2c(N)noc2n1,0,pro_171,100000,5.0
Nc1noc2nc(Cl)cc(c12)C(F)(F)F,0,pro_171,100000,5.0
CN(C)c1ccc2c(N)noc2n1,0,pro_171,100000,5.0
CN(C)c1nc2onc(N)c2cc1F,0,pro_171,100000,5.0
COC(=O)c1ccc2cnoc2n1,0,pro_171,100000,5.0
Nc1noc2ncc(Br)cc12,0,pro_171,55000,4.740362689494244
CSc1ccc2c(N)noc2n1,0,pro_171,55000,4.740362689494244
CN(C)c1ccnc2onc(N)c12,0,pro_171,100000,5.0
Cc1cc(C)c2c(N)noc2n1,0,pro_171,55000,4.740362689494244
COc1ccnc2onc(N)c12,0,pro_171,100000,5.0
Cc1cc2c(N)noc2nc1C,0,pro_171,100000,5.0
Nc1noc2nc(ccc12)C(O)=O,0,pro_171,100000,5.0
Nc1noc2ncc(Cl)cc12,0,pro_171,55000,4.740362689494244
CC(=O)Nc1noc2nc(C)c(Cl)c(C)c12,0,pro_171,100000,5.0
Cc1nc2onc(N)c2c(C)c1C,0,pro_171,55000,4.740362689494244
Nc1noc2nc(N)ccc12,0,pro_171,100000,5.0
COCC#Cc1cnc2onc(N)c2c1,0,pro_171,100000,5.0
CNc1noc2nc(C)c(Cl)c(C)c12,0,pro_171,100000,5.0
CC(C)c1ccc2c(N)noc2n1,0,pro_171,100000,5.0
CN(C)CCCOc1ccc2c(N)noc2n1,0,pro_171,100000,5.0
COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,1,pro_2281,9,0.9542425094393248
Cc1nccc(n1)N1CCCC2CC(CCC12)C1(CCC1)C(=O)Nc1ccc(F)cc1,1,pro_171,1,0.0
